,Dublin/ Pleasanton,West Dublin/Pleasanton,Castro Valley,Fremont,Union City,South Hayward,Hayward,Bay Fair,San Leandro,Coliseum/Oakland Airport,Fruitvale,Lake Merritt,Richmond,El Cerrito Del Norte,El Cerrito Plaza,North Berkeley,Berkeley,Ashby,Pittsburg/ Bay Point,North Concord,Concord,Pleasant Hill,Walnut Creek,Lafayette,Orinda,Rockridge,MacArthur,19th St Oakland,12th St Oakland City Center,West Oakland,Embarcadero,Montgomery,Powell,Civic Center,16th St Mission,24th St Mission,Glen Park,Balboa Park,Daly City,Colma,South San Francisco,San Bruno,SFO,Oakland International Airport,Warm Springs,Milpitas,Berryessa,Alum Rock,Downtown San Jose,Diridon-Caltrain,Santa Clara,Irvington,Millbrae,Alameda,Mission Rock,Ballpark ,3rd and Mission,Union Square,Van Ness,Fillmore,14th Street,11th Street,Eastlake,Howard Terminal
North Concord,441,430,367,441,420,385,364,346,332,311,297,287,329,315,304,294,287,287,129,0,129,129,129,206,238,276,287,287,287,297,406,406,406,406,413,416,427,430,441,437,451,469,780,731,472,483,493,546,567,567,584,458,490,,,,,,,,,,,
Concord,427,416,353,427,406,371,353,332,318,297,283,273,315,301,290,280,273,273,129,129,0,129,129,129,129,262,273,273,273,283,395,395,395,395,399,402,413,416,427,423,437,455,766,717,458,469,479,532,542,542,560,444,476,,,,,,,,,,,
Pleasant Hill,399,388,325,399,378,343,325,304,290,269,255,248,290,273,262,252,248,245,129,129,129,0,129,129,129,234,245,248,248,255,367,367,367,367,371,374,385,388,399,395,409,427,738,689,430,441,451,504,514,514,532,416,448,,,,,,,,,,,
Walnut Creek,388,378,315,392,367,336,315,294,280,259,248,238,276,266,252,241,238,231,129,129,129,129,0,129,129,217,231,238,238,245,357,357,357,357,360,364,374,381,388,385,399,416,727,678,423,434,444,493,504,504,521,409,437,,,,,,,,,,,
Lafayette,364,353,290,367,343,311,290,273,255,234,224,206,255,241,231,217,210,199,248,206,129,129,129,0,129,182,196,206,206,220,332,332,332,332,336,339,350,357,364,360,374,392,703,654,399,409,420,469,483,483,497,385,413,,,,,,,,,,,
Orinda,339,329,266,339,318,283,262,245,231,210,185,164,227,217,199,178,168,157,273,238,129,129,129,129,0,129,129,164,164,178,308,308,308,308,311,315,325,329,339,336,350,367,678,630,371,381,392,444,455,455,469,357,388,,,,,,,,,,,
Rockridge,304,294,231,304,283,248,231,210,185,154,133,129,185,161,143,129,129,129,311,276,262,234,217,182,129,0,129,129,129,129,262,262,262,262,273,280,287,294,301,301,311,329,640,574,336,346,357,409,416,416,434,322,350,,,,,,,,,,,
MacArthur,304,294,231,304,283,248,231,206,182,150,129,129,182,157,140,129,129,129,322,287,273,245,231,196,129,129,0,129,129,129,245,245,245,245,259,266,280,283,294,290,304,322,633,570,336,346,357,409,420,420,434,322,343,,,,,,,,,,,
19th St Oakland,297,287,224,301,276,245,224,192,168,129,129,129,196,171,154,133,129,129,322,287,273,248,238,206,164,129,129,0,129,129,231,231,231,231,245,252,269,276,287,283,297,315,626,549,332,343,353,402,413,413,427,318,336,,,,,,,,,,,
12th St Oakland City Center,297,287,224,301,276,245,224,192,168,129,129,129,196,171,154,133,129,129,322,287,273,248,238,206,164,129,129,129,0,129,231,231,231,231,245,252,269,276,287,283,297,315,626,549,332,343,353,402,413,413,427,318,336,,,,,,,,,,,
West Oakland,304,294,231,308,283,252,231,206,178,147,129,129,206,182,164,143,136,129,332,297,283,255,245,220,178,129,129,129,129,0,217,217,217,217,234,238,255,266,280,276,290,308,619,567,339,350,360,409,420,420,434,325,329,,,,,,,,,,,
Embarcadero,416,402,339,416,392,360,339,322,304,283,262,231,315,301,290,280,273,262,441,406,395,367,357,332,308,262,245,231,231,217,0,129,129,129,129,129,129,133,220,245,266,290,605,703,448,458,469,521,532,532,546,434,315,,,,,,,,,,,
Montgomery,416,402,339,416,392,360,339,322,304,283,262,231,315,301,290,280,273,262,441,406,395,367,357,332,308,262,245,231,231,217,129,0,129,129,129,129,129,133,220,245,266,290,605,703,448,458,469,521,532,532,546,434,315,,,,,,,,,,,
Powell,416,402,339,416,392,360,339,322,304,283,262,231,315,301,290,280,273,262,441,406,395,367,357,332,308,262,245,231,231,217,129,129,0,129,129,129,129,133,220,245,266,290,605,703,448,458,469,521,532,532,546,434,315,,,,,,,,,,,
Civic Center,416,402,339,416,392,360,339,322,304,283,262,231,315,301,290,280,273,262,441,406,395,367,357,332,308,262,245,231,231,217,129,129,129,0,129,129,129,133,220,245,266,290,605,703,448,458,469,521,532,532,546,434,315,,,,,,,,,,,
16th St Mission,420,409,346,420,399,364,346,325,311,290,273,245,322,308,297,283,280,273,448,413,399,371,360,336,311,273,259,245,245,234,129,129,129,129,0,129,129,129,206,234,252,280,602,710,451,462,472,525,535,535,553,437,311,,,,,,,,,,,
24th St Mission,423,413,350,423,402,367,350,329,315,294,280,252,325,311,301,287,283,276,451,416,402,374,364,339,315,280,266,252,252,238,129,129,129,129,129,0,129,129,206,227,245,273,595,713,455,465,476,528,539,539,556,441,308,,,,,,,,,,,
Glen Park,434,423,360,434,413,378,357,339,325,304,290,269,336,322,311,297,294,287,462,427,413,385,374,350,325,287,280,269,269,255,129,129,129,129,129,129,0,129,206,217,231,255,577,724,465,476,486,539,549,549,577,451,290,,,,,,,,,,,
Balboa Park,437,427,364,441,416,385,364,343,329,308,297,276,339,325,315,301,297,294,465,430,416,388,381,357,329,294,283,276,276,266,133,133,133,133,129,129,129,0,206,217,217,248,567,727,472,483,493,542,553,553,581,458,283,,,,,,,,,,,
Daly City,448,434,371,448,423,392,371,353,336,318,304,287,350,332,322,311,308,301,476,441,427,399,388,364,339,301,294,287,287,280,220,220,220,220,206,206,206,206,0,217,217,217,553,738,479,490,500,553,563,563,591,465,266,,,,,,,,,,,
Colma,444,434,371,444,423,388,371,350,336,315,301,283,346,332,322,308,304,297,472,437,423,395,385,360,336,301,290,283,283,276,245,245,245,245,234,227,217,217,217,0,217,217,539,734,476,486,497,549,560,560,588,462,252,,,,,,,,,,,
