,fare,name_from,name_to,node_from,node_to,key
208,203,South Hayward,Coliseum/Oakland Airport,15528,15532,1552815532
209,224,South Hayward,Fruitvale,15528,15533,1552815533
210,245,South Hayward,Lake Merritt,15528,15534,1552815534
211,304,South Hayward,Richmond,15528,15520,1552015528
212,294,South Hayward,El Cerrito Del Norte,15528,15521,1552115528
213,280,South Hayward,El Cerrito Plaza,15528,15522,1552215528
214,269,South Hayward,North Berkeley,15528,15524,1552415528
215,266,South Hayward,Berkeley,15528,15523,1552315528
216,259,South Hayward,Ashby,15528,15525,1552515528
217,420,South Hayward,Pittsburg/ Bay Point,15528,15536,1552815536
218,385,South Hayward,North Concord,15528,15535,1552815535
219,371,South Hayward,Concord,15528,15501,1550115528
220,343,South Hayward,Pleasant Hill,15528,15502,1550215528
221,336,South Hayward,Walnut Creek,15528,15503,1550315528
222,311,South Hayward,Lafayette,15528,15504,1550415528
223,283,South Hayward,Orinda,15528,15505,1550515528
224,248,South Hayward,Rockridge,15528,15506,1550615528
225,248,South Hayward,MacArthur,15528,15507,1550715528
226,245,South Hayward,19th St Oakland,15528,15508,1550815528
227,245,South Hayward,12th St Oakland City Center,15528,15509,1550915528
228,252,South Hayward,West Oakland,15528,15510,1551015528
229,360,South Hayward,Embarcadero,15528,15511,1551115528
230,360,South Hayward,Montgomery,15528,15512,1551215528
231,360,South Hayward,Powell,15528,15513,1551315528
232,360,South Hayward,Civic Center,15528,15514,1551415528
233,364,South Hayward,16th St Mission,15528,15515,1551515528
234,367,South Hayward,24th St Mission,15528,15516,1551615528
235,378,South Hayward,Glen Park,15528,15517,1551715528
236,385,South Hayward,Balboa Park,15528,15518,1551815528
237,392,South Hayward,Daly City,15528,15519,1551915528
238,388,South Hayward,Colma,15528,15539,1552815539
239,402,South Hayward,South San Francisco,15528,15540,1552815540
240,420,South Hayward,San Bruno,15528,15541,1552815541
241,731,South Hayward,SFO,15528,15542,1552815542
242,441,South Hayward,Millbrae,15528,15543,1552815543
243,129,Hayward,Bay Fair,15529,15530,1552915530
244,129,Hayward,San Leandro,15529,15531,1552915531
245,171,Hayward,Coliseum/Oakland Airport,15529,15532,1552915532
246,192,Hayward,Fruitvale,15529,15533,1552915533
247,224,Hayward,Lake Merritt,15529,15534,1552915534
248,287,Hayward,Richmond,15529,15520,1552015529
249,273,Hayward,El Cerrito Del Norte,15529,15521,1552115529
250,262,Hayward,El Cerrito Plaza,15529,15522,1552215529
251,248,Hayward,North Berkeley,15529,15524,1552415529
252,245,Hayward,Berkeley,15529,15523,1552315529
253,238,Hayward,Ashby,15529,15525,1552515529
254,399,Hayward,Pittsburg/ Bay Point,15529,15536,1552915536
255,364,Hayward,North Concord,15529,15535,1552915535
256,353,Hayward,Concord,15529,15501,1550115529
257,325,Hayward,Pleasant Hill,15529,15502,1550215529
258,315,Hayward,Walnut Creek,15529,15503,1550315529
259,290,Hayward,Lafayette,15529,15504,1550415529
260,262,Hayward,Orinda,15529,15505,1550515529
261,231,Hayward,Rockridge,15529,15506,1550615529
262,231,Hayward,MacArthur,15529,15507,1550715529
263,224,Hayward,19th St Oakland,15529,15508,1550815529
264,224,Hayward,12th St Oakland City Center,15529,15509,1550915529
265,231,Hayward,West Oakland,15529,15510,1551015529
266,339,Hayward,Embarcadero,15529,15511,1551115529
267,339,Hayward,Montgomery,15529,15512,1551215529
268,339,Hayward,Powell,15529,15513,1551315529
269,339,Hayward,Civic Center,15529,15514,1551415529
270,346,Hayward,16th St Mission,15529,15515,1551515529
271,350,Hayward,24th St Mission,15529,15516,1551615529
272,357,Hayward,Glen Park,15529,15517,1551715529
273,364,Hayward,Balboa Park,15529,15518,1551815529
274,371,Hayward,Daly City,15529,15519,1551915529
275,371,Hayward,Colma,15529,15539,1552915539
276,381,Hayward,South San Francisco,15529,15540,1552915540
277,399,Hayward,San Bruno,15529,15541,1552915541
278,713,Hayward,SFO,15529,15542,1552915542
279,423,Hayward,Millbrae,15529,15543,1552915543
280,129,Bay Fair,San Leandro,15530,15531,1553015531
281,129,Bay Fair,Coliseum/Oakland Airport,15530,15532,1553015532
282,164,Bay Fair,Fruitvale,15530,15533,1553015533
283,192,Bay Fair,Lake Merritt,15530,15534,1553015534
284,266,Bay Fair,Richmond,15530,15520,1552015530
285,252,Bay Fair,El Cerrito Del Norte,15530,15521,1552115530
286,241,Bay Fair,El Cerrito Plaza,15530,15522,1552215530
287,227,Bay Fair,North Berkeley,15530,15524,1552415530
288,227,Bay Fair,Berkeley,15530,15523,1552315530
289,220,Bay Fair,Ashby,15530,15525,1552515530
290,381,Bay Fair,Pittsburg/ Bay Point,15530,15536,1553015536
291,346,Bay Fair,North Concord,15530,15535,1553015535
292,332,Bay Fair,Concord,15530,15501,1550115530
293,304,Bay Fair,Pleasant Hill,15530,15502,1550215530
294,294,Bay Fair,Walnut Creek,15530,15503,1550315530
295,273,Bay Fair,Lafayette,15530,15504,1550415530
296,245,Bay Fair,Orinda,15530,15505,1550515530
297,210,Bay Fair,Rockridge,15530,15506,1550615530
298,206,Bay Fair,MacArthur,15530,15507,1550715530
299,192,Bay Fair,19th St Oakland,15530,15508,1550815530
300,192,Bay Fair,12th St Oakland City Center,15530,15509,1550915530
301,206,Bay Fair,West Oakland,15530,15510,1551015530
302,322,Bay Fair,Embarcadero,15530,15511,1551115530
303,322,Bay Fair,Montgomery,15530,15512,1551215530
304,322,Bay Fair,Powell,15530,15513,1551315530
305,322,Bay Fair,Civic Center,15530,15514,1551415530
306,325,Bay Fair,16th St Mission,15530,15515,1551515530
307,329,Bay Fair,24th St Mission,15530,15516,1551615530
308,339,Bay Fair,Glen Park,15530,15517,1551715530
309,343,Bay Fair,Balboa Park,15530,15518,1551815530
310,353,Bay Fair,Daly City,15530,15519,1551915530
311,350,Bay Fair,Colma,15530,15539,1553015539
312,364,Bay Fair,South San Francisco,15530,15540,1553015540
313,381,Bay Fair,San Bruno,15530,15541,1553015541
314,692,Bay Fair,SFO,15530,15542,1553015542
315,402,Bay Fair,Millbrae,15530,15543,1553015543
316,129,San Leandro,Coliseum/Oakland Airport,15531,15532,1553115532
317,129,San Leandro,Fruitvale,15531,15533,1553115533
318,168,San Leandro,Lake Merritt,15531,15534,1553115534
319,252,San Leandro,Richmond,15531,15520,1552015531
320,238,San Leandro,El Cerrito Del Norte,15531,15521,1552115531
321,224,San Leandro,El Cerrito Plaza,15531,15522,1552215531
322,213,San Leandro,North Berkeley,15531,15524,1552415531
323,210,San Leandro,Berkeley,15531,15523,1552315531
324,199,San Leandro,Ashby,15531,15525,1552515531
325,364,San Leandro,Pittsburg/ Bay Point,15531,15536,1553115536
326,332,San Leandro,North Concord,15531,15535,1553115535
327,318,San Leandro,Concord,15531,15501,1550115531
328,290,San Leandro,Pleasant Hill,15531,15502,1550215531
329,280,San Leandro,Walnut Creek,15531,15503,1550315531
330,255,San Leandro,Lafayette,15531,15504,1550415531
331,231,San Leandro,Orinda,15531,15505,1550515531
332,185,San Leandro,Rockridge,15531,15506,1550615531
333,182,San Leandro,MacArthur,15531,15507,1550715531
334,168,San Leandro,19th St Oakland,15531,15508,1550815531
335,168,San Leandro,12th St Oakland City Center,15531,15509,1550915531
336,178,San Leandro,West Oakland,15531,15510,1551015531
337,304,San Leandro,Embarcadero,15531,15511,1551115531
338,304,San Leandro,Montgomery,15531,15512,1551215531
339,304,San Leandro,Powell,15531,15513,1551315531
340,304,San Leandro,Civic Center,15531,15514,1551415531
341,311,San Leandro,16th St Mission,15531,15515,1551515531
342,315,San Leandro,24th St Mission,15531,15516,1551615531
343,325,San Leandro,Glen Park,15531,15517,1551715531
344,329,San Leandro,Balboa Park,15531,15518,1551815531
345,336,San Leandro,Daly City,15531,15519,1551915531
346,336,San Leandro,Colma,15531,15539,1553115539
347,346,San Leandro,South San Francisco,15531,15540,1553115540
348,364,San Leandro,San Bruno,15531,15541,1553115541
349,675,San Leandro,SFO,15531,15542,1553115542
350,388,San Leandro,Millbrae,15531,15543,1553115543
351,129,Coliseum/Oakland Airport,Fruitvale,15532,15533,1553215533
352,129,Coliseum/Oakland Airport,Lake Merritt,15532,15534,1553215534
353,231,Coliseum/Oakland Airport,Richmond,15532,15520,1552015532
354,217,Coliseum/Oakland Airport,El Cerrito Del Norte,15532,15521,1552115532
355,206,Coliseum/Oakland Airport,El Cerrito Plaza,15532,15522,1552215532
356,185,Coliseum/Oakland Airport,North Berkeley,15532,15524,1552415532
357,175,Coliseum/Oakland Airport,Berkeley,15532,15523,1552315532
358,164,Coliseum/Oakland Airport,Ashby,15532,15525,1552515532
359,346,Coliseum/Oakland Airport,Pittsburg/ Bay Point,15532,15536,1553215536
360,311,Coliseum/Oakland Airport,North Concord,15532,15535,1553215535
361,297,Coliseum/Oakland Airport,Concord,15532,15501,1550115532
362,269,Coliseum/Oakland Airport,Pleasant Hill,15532,15502,1550215532
363,259,Coliseum/Oakland Airport,Walnut Creek,15532,15503,1550315532
364,234,Coliseum/Oakland Airport,Lafayette,15532,15504,1550415532
365,210,Coliseum/Oakland Airport,Orinda,15532,15505,1550515532
