,fare,name_from,name_to,node_from,node_to,key,
80,434,West Dublin/Pleasanton,Colma,15545,15539,1553915545,15545   15539   434  ;West Dublin/Pleasanton to Colma
81,444,West Dublin/Pleasanton,South San Francisco,15545,15540,1554015545,15545   15540   444  ;West Dublin/Pleasanton to South San Francisco
82,462,West Dublin/Pleasanton,San Bruno,15545,15541,1554115545,15545   15541   462  ;West Dublin/Pleasanton to San Bruno
83,776,West Dublin/Pleasanton,SFO,15545,15542,1554215545,15545   15542   776  ;West Dublin/Pleasanton to SFO
84,486,West Dublin/Pleasanton,Millbrae,15545,15543,1554315545,15545   15543   486  ;West Dublin/Pleasanton to Millbrae
85,252,Castro Valley,Fremont,15537,15526,1552615537,15537   15526   252  ;Castro Valley to Fremont
86,224,Castro Valley,Union City,15537,15527,1552715537,15537   15527   224  ;Castro Valley to Union City
87,178,Castro Valley,South Hayward,15537,15528,1552815537,15537   15528   178  ;Castro Valley to South Hayward
88,129,Castro Valley,Hayward,15537,15529,1552915537,15537   15529   129  ;Castro Valley to Hayward
89,129,Castro Valley,Bay Fair,15537,15530,1553015537,15537   15530   129  ;Castro Valley to Bay Fair
90,129,Castro Valley,San Leandro,15537,15531,1553115537,15537   15531   129  ;Castro Valley to San Leandro
91,171,Castro Valley,Coliseum/Oakland Airport,15537,15532,1553215537,15537   15532   171  ;Castro Valley to Coliseum/Oakland Airport
92,192,Castro Valley,Fruitvale,15537,15533,1553315537,15537   15533   192  ;Castro Valley to Fruitvale
93,224,Castro Valley,Lake Merritt,15537,15534,1553415537,15537   15534   224  ;Castro Valley to Lake Merritt
94,287,Castro Valley,Richmond,15537,15520,1552015537,15537   15520   287  ;Castro Valley to Richmond
95,273,Castro Valley,El Cerrito Del Norte,15537,15521,1552115537,15537   15521   273  ;Castro Valley to El Cerrito Del Norte
96,259,Castro Valley,El Cerrito Plaza,15537,15522,1552215537,15537   15522   259  ;Castro Valley to El Cerrito Plaza
97,248,Castro Valley,North Berkeley,15537,15524,1552415537,15537   15524   248  ;Castro Valley to North Berkeley
98,245,Castro Valley,Berkeley,15537,15523,1552315537,15537   15523   245  ;Castro Valley to Berkeley
99,238,Castro Valley,Ashby,15537,15525,1552515537,15537   15525   238  ;Castro Valley to Ashby
100,402,Castro Valley,Pittsburg/ Bay Point,15537,15536,1553615537,15537   15536   402  ;Castro Valley to Pittsburg/ Bay Point
101,367,Castro Valley,North Concord,15537,15535,1553515537,15537   15535   367  ;Castro Valley to North Concord
102,353,Castro Valley,Concord,15537,15501,1550115537,15537   15501   353  ;Castro Valley to Concord
103,325,Castro Valley,Pleasant Hill,15537,15502,1550215537,15537   15502   325  ;Castro Valley to Pleasant Hill
104,315,Castro Valley,Walnut Creek,15537,15503,1550315537,15537   15503   315  ;Castro Valley to Walnut Creek
105,290,Castro Valley,Lafayette,15537,15504,1550415537,15537   15504   290  ;Castro Valley to Lafayette
106,266,Castro Valley,Orinda,15537,15505,1550515537,15537   15505   266  ;Castro Valley to Orinda
107,231,Castro Valley,Rockridge,15537,15506,1550615537,15537   15506   231  ;Castro Valley to Rockridge
108,231,Castro Valley,MacArthur,15537,15507,1550715537,15537   15507   231  ;Castro Valley to MacArthur
109,224,Castro Valley,19th St Oakland,15537,15508,1550815537,15537   15508   224  ;Castro Valley to 19th St Oakland
110,224,Castro Valley,12th St Oakland City Center,15537,15509,1550915537,15537   15509   224  ;Castro Valley to 12th St Oakland City Center
111,231,Castro Valley,West Oakland,15537,15510,1551015537,15537   15510   231  ;Castro Valley to West Oakland
112,339,Castro Valley,Embarcadero,15537,15511,1551115537,15537   15511   339  ;Castro Valley to Embarcadero
113,339,Castro Valley,Montgomery,15537,15512,1551215537,15537   15512   339  ;Castro Valley to Montgomery
114,339,Castro Valley,Powell,15537,15513,1551315537,15537   15513   339  ;Castro Valley to Powell
